optimizer,weight decay,lr,f1 score,accuracy
AdamW,0.01,1e-3,0.09,0.24
AdamW,0.01,1e-4,0.89,0.90 
AdamW,0.01,1e-5,0.93,0.93
AdamW,0.001,1e-3,0.09,0.24 
AdamW,0.001,1e-4,0.94,0.94
AdamW,0.001,1e-5,0.92,0.92
SGD,0.01,1e-3,0.68,0.72 
SGD,0.01,1e-4,0.11,0.25 
SGD,0.01,1e-5,0.14,0.21
SGD,0.001,1e-3,0.79,0.81 
SGD,0.001,1e-4,0.11,0.25
SGD,0.001,1e-5,0.14,0.22  
